Temporada,Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado,Goles Local,Goles Visitante,Penaltis Local,Target,Penaltis Visitante,Arbitro,Amarillas Local,Amarillas Visitante,Rojas Local,Rojas Visitante,Minutos Goles L,Goleadores L,Minutos Goles V,Goleadores V,PTOS L,PTOS V,POSC L,POSC V,FORMA L,FORMA V,Pr PTOS L,Pr PTOS V,Pr G AF L,Pr G AF V,Pr G EC L,Pr G EC  V,Pr TA L,Pr TA V,Pr TR L,Pr TR V,Pr TA ARB,Pr TR ARB
11,28/08/2010,1,Hércules,AthleticClub,0-1,0,1,0,V,0,Rubinos Pérez,4,4,0,0,[],[],"[""46'""]",['Llorente '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,28/08/2010,1,Levante,Sevilla,1-4,1,4,1,V,1,Pérez Lasa,4,4,0,0,"[""10'""]",['Rubén Suárez '],"[""12'"", ""28'"", ""62'"", ""87'""]","['Konko ', 'Negredo ', 'Konko ', 'Renato ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,28/08/2010,1,Málaga,Valencia,1-3,1,3,0,V,0,Muñiz Fernández,2,5,0,0,"[""44'""]",['Seba '],"[""9'"", ""70'"", ""74'""]","['Aduriz ', 'Joaquín ', 'Joaquín ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29/08/2010,1,DeportivodeLaCoruña,Zaragoza,0-0,0,0,0,E,0,Teixeira Vitienes,0,1,0,0,[],[],[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29/08/2010,1,Espanyol,Getafe,3-1,3,1,0,L,0,Ayza Gámez,3,4,0,0,"[""33'"", ""54'"", ""90'""]","['Osvaldo ', 'Osvaldo ', 'Dátolo ']","[""61'""]",['Propia Puerta'],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29/08/2010,1,Mallorca,RealMadrid,0-0,0,0,0,E,0,Fernández Borbalán,2,2,0,0,[],[],[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29/08/2010,1,Osasuna,Almería,0-0,0,0,0,E,0,Álvarez Izquierdo,4,1,0,1,[],[],[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29/08/2010,1,RacingdeSantander,Barcelona,0-3,0,3,0,V,0,Delgado Ferreiro,4,1,0,0,[],[],"[""4'"", ""33'"", ""62'""]","['Messi ', 'Iniesta ', 'Villa ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29/08/2010,1,RealSociedad,Villarreal,1-0,1,0,0,L,0,González González,3,3,0,0,"[""57'""]",['Xabi Prieto '],[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,30/08/2010,1,AtléticodeMadrid,SportingdeGijón,4-0,4,0,0,L,0,Ramírez Domínguez,3,5,0,0,"[""11'"", ""40'"", ""62'"", ""90'""]","['Jurado ', 'Forlán ', 'Forlán ', 'Simão ']",[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13/09/2010,2,Almería,RealSociedad,2-2,2,2,0,E,0,Iglesias Villanueva,4,2,0,0,"[""21'"", ""90'""]","['Piatti ', 'Ulloa ']","[""8'"", ""33'""]","['Tamudo ', 'Sutil ']",1,3,8,5,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
11,12/09/2010,2,Villarreal,Espanyol,4-0,4,0,1,L,0,Iturralde González,5,6,0,1,"[""23'"", ""31'"", ""55'"", ""77'""]","['Rossi ', 'Borja Valero ', 'Rossi ', 'Nilmar ']",[],[],0,3,16,3,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
11,12/09/2010,2,Getafe,Levante,4-1,4,1,0,L,0,Clos Gómez,3,4,0,0,"[""5'"", ""10'"", ""89'"", ""90'""]","['Gavilán ', 'Adrián Colunga ', 'Gavilán ', 'Arizmendi ']","[""13'""]",['Rafa Jordà '],0,0,15,17,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
11,12/09/2010,2,Sevilla,DeportivodeLaCoruña,0-0,0,0,0,E,0,Turienzo Álvarez,3,3,0,0,[],[],[],[],3,1,1,9,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
11,12/09/2010,2,Zaragoza,Málaga,3-5,3,5,0,V,0,Mateu Lahoz,2,3,0,0,"[""40'"", ""68'"", ""80'""]","['Edmílson ', 'Marco Pérez ', 'Ander Herrera ']","[""1'"", ""7'"", ""27'"", ""29'"", ""34'""]","['Fernando ', 'Juanmi ', 'Fernando ', 'Juanmi ', 'Quincy ']",1,0,13,19,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
11,11/09/2010,2,Valencia,RacingdeSantander,1-0,1,0,0,L,0,Paradas Romero,4,2,0,0,"[""44'""]",['Maduro '],[],[],3,0,7,18,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0
11,11/09/2010,2,RealMadrid,Osasuna,1-0,1,0,0,L,0,Teixeira Vitienes,2,2,0,0,"[""48'""]",['Carvalho '],[],[],1,1,12,11,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0
11,11/09/2010,2,Barcelona,Hércules,0-2,0,2,0,V,0,Velasco Carballo,2,2,0,0,[],[],"[""26'"", ""58'""]","['Valdez ', 'Valdez ']",3,0,4,14,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
