Temporada,Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado,Goles Local,Goles Visitante,Penaltis Local,Target,Penaltis Visitante,Arbitro,Amarillas Local,Amarillas Visitante,Rojas Local,Rojas Visitante,Minutos Goles L,Goleadores L,Minutos Goles V,Goleadores V,PTOS L,PTOS V,POSC L,POSC V,FORMA L,FORMA V,Pr PTOS L,Pr PTOS V,Pr G AF L,Pr G AF V,Pr G EC L,Pr G EC  V,Pr TA L,Pr TA V,Pr TR L,Pr TR V,Pr TA ARB,Pr TR ARB
7,26/08/2006,1,Valencia,Betis,2-1,2,1,0,L,0,Muñiz Fernández,3,3,0,0,"[""32'"", ""60'""]","['Morientes ', 'Albiol ']","[""52'""]",['Xisco '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27/08/2006,1,AthleticClub,RealSociedad,1-1,1,1,1,E,0,Undiano Mallenco,2,4,0,0,"[""35'""]",['Aduriz '],"[""86'""]",['Aranburu '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27/08/2006,1,DeportivodeLaCoruña,Zaragoza,3-2,3,2,1,L,0,Pérez Burrull,4,5,0,1,"[""16'"", ""37'"", ""75'""]","['Juan Rodríguez ', 'Sergio ', 'Arizmendi ']","[""8'"", ""81'""]","['Diego Milito ', 'Ewerthon ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27/08/2006,1,Espanyol,GimnàsticdeTarragona,0-1,0,1,0,V,0,Clos Gómez,4,4,0,0,[],[],"[""50'""]",['Campano '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27/08/2006,1,RecreativodeHuelva,Mallorca,1-1,1,1,0,E,0,Pino Zamorano,3,2,0,0,"[""90'""]",['Cazorla '],"[""85'""]",['Arango '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27/08/2006,1,Osasuna,Getafe,0-2,0,2,0,V,0,Pérez Lima,4,6,0,0,[],[],"[""52'"", ""75'""]","['Celestini ', 'Nacho ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27/08/2006,1,RacingdeSantander,AtléticodeMadrid,0-1,0,1,0,V,0,Iturralde González,3,4,0,1,[],[],"[""12'""]",['Fernando Torres '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,27/08/2006,1,RealMadrid,Villarreal,0-0,0,0,0,E,0,Fernández Borbalán,2,3,0,0,[],[],[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28/08/2006,1,CeltadeVigo,Barcelona,2-3,2,3,0,V,0,Pérez Lasa,2,2,0,0,"[""41'"", ""64'""]","['Baiano ', 'Gustavo López ']","[""55'"", ""59'"", ""87'""]","['o ', 'Messi ', 'Guðjohnsen ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,29/08/2006,1,Sevilla,Levante,4-0,4,0,0,L,0,Delgado Ferreiro,2,5,0,0,"[""7'"", ""28'"", ""50'"", ""88'""]","['Kanouté ', 'Kepa ', 'Kepa ', 'Kepa ']",[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
